small_dataset_name,v,match,sim,google_matched
KINEMA SYSTEMS,_tc_wn,Kinema Systems Inc.,1.0000000000000002,1
DIALOG SEMICONDUCTOR,_tc_wn,DIALOG SEMICONDUCTOR INC.,1.0000000000000002,1
DIALOG SEMICONDUCTOR,_tc_won,Dialog Semiconductor B.V.,1.0000000000000002,
MOBILE TECHNOLOGIES,_tc_wn,"MOBILE TECHNOLOGIES, INC.",1.0000000000000002,1
X DEVELOPMENT LLC,_tc_won,J&K Development LLC,1.0000000000000002,
SENOSIS HEALTH,_tc_won,W. Health L.P.,1.0,
PARSE,_bfl_wn,PARSE INC.,1.0,1
SUNRISE,_tc_wn,Sunrise SA,1.0,
SYBARI SOFTWARE INC,_tc_wn,R SOFTWARE INC.,1.0,
SPARROW,_bfl_wn,"SPARROW CO., LTD",1.0,1
NICE,_tc_wn,NICE LTD.,1.0,1
2WEB TECHNOLOGIES,_tc_wn,"4 S TECHNOLOGIES, LLC",1.0,
SONICS,_tc_won,S&F Sonics,1.0,
IGDB.COM,_tc_won,V.Com S.A.,1.0,
FRIEND.LY,_tc_wn,"Friendly, Inc.",1.0,
SENOSIS HEALTH,_tc_wn,5 Health Inc.,1.0,
NICE,_tc_won,NICE S.p.A.,1.0,
CANVAS TECHNOLOGY LLC,_tc_wn,"Canvas Technology, Inc.",1.0,1
RAPT INC,_bfl_wn,RAPT LLC,1.0,1
CALIGARI CORPORATION,_tc_wn,A & F Corporation,1.0,
THINKBOX SOFTWARE,_tc_wn,R SOFTWARE INC.,1.0,
SONICS,_bfl_won,"Sonics, Inc.",1.0,1
WILDFIRE,_bfl_wn,"Wildfire, Inc.",1.0,1
ALTER,_bfl_won,"Alter, S.A.",1.0,
AVED ELECTRONICS,_tc_wn,"B. F. Electronics, Inc.",1.0,
I-CUBE,_tc_won,CUBE S.r.L.,1.0,
WESTLAND,_tc_wn,Westland plc,1.0,
X DEVELOPMENT LLC,_bfl_wn,X Development LLC,1.0,1
NOVI,_tc_wn,NOVI LLC,1.0,1
FIELDONE SYSTEMS,_tc_wn,"A & E Systems, Inc.",1.0,
DIMENSION X INC,_tc_won,"DIMENSION, INC.",1.0,
NORTH,_bfl_wn,NORTH INC.,1.0,1
ALTER,_tc_won,Alter S.R.L.,1.0,
BLUETALON,_bfl_wn,"BlueTalon, Inc.",1.0,1
VOICESIGNAL TECHNOLOGIES,_tc_won,A&A Technologies,1.0,
SYBARI SOFTWARE INC,_tc_won,"G-Software, Inc.",1.0,
SPECTRUM,_tc_wn,"SPECTRUM CO, LLC",1.0,1
ELASTIFILE,_bfl_wn,Elastifile Ltd.,1.0,1
UMBRA,_bfl_won,Umbra LLC,1.0,1
PLANETALL.COM,_tc_won,V.Com S.A.,1.0,
ALPENTAL TECHNOLOGIES,_tc_wn,"4 S TECHNOLOGIES, LLC",1.0,
FACIOMETRICS LLC,_tc_won,A-M LLC,1.0,
I-CUBE,_tc_wn,iCube Corp.,1.0,
2WEB TECHNOLOGIES,_tc_won,A&A Technologies,1.0,
HALLI LABS,_tc_wn,"A E Labs, Inc.",1.0,
QIK,_bfl_wn,"QIK, LLC",1.0,1
AQUANTIVE,_tc_wn,"aQuantive, Inc.",1.0,1
HEXADITE,_tc_wn,Hexadite LTD.,1.0,1
NUMINOUS TECHNOLOGIES INC,_tc_won,"B & H Technologies, Inc.",1.0,
FIELDONE SYSTEMS,_tc_won,A.C.C. Systems,1.0,
POLAR,_tc_wn,"POLAR & CO., INC.",1.0,1
Z-AXIS LTD.,_tc_wn,"Zaxis, Inc.",1.0,
SCHAFT,_bfl_wn,Schaft Inc.,1.0,1
ZAYANTE INC,_tc_wn,Zayante,1.0,1
DIMENSION X,_tc_wn,DIMENSION 4 LTD.,1.0,
DANGER,_bfl_wn,"Danger, Inc.",1.0,1
UPSTARTLE LLC,_tc_won,A-M LLC,1.0,
HALLI LABS,_tc_won,C-Labs S.R.L.,1.0,
CONVERGENCE CORP,_bfl_wn,"CONVERGENCE, INC.",1.0,1
NUMINOUS TECHNOLOGIES,_tc_won,A&A Technologies,1.0,
BLINK,_tc_wn,BLINK AG,1.0,
FRONTBRIDGE TECHNOLOGIES,_tc_wn,"4 S TECHNOLOGIES, LLC",1.0,
AVED ELECTRONICS,_tc_won,F. B. Electronics,1.0,
JIGSAW,_tc_wn,JIG-SAW INC.,1.0,
DIMENSION X INC,_tc_wn,DIMENSION 4 LTD.,1.0,
IMPERMIUM CORP,_tc_won,A.L.M.T. CORP.,1.0,
PA SEMI,_tc_wn,"P.A. Semi, Inc.",1.0,
BEBO,_bfl_wn,"Bebo, Inc.",1.0,1
PARTICLE,_bfl_wn,"PARTICLE CO., LTD.",1.0,1
AORATO,_tc_wn,Aorato Ltd,1.0,1
CAMPUS,_tc_wn,"Campus 1, Inc.",1.0,
FRONTBRIDGE TECHNOLOGIES INC,_tc_won,"B & H Technologies, Inc.",1.0,
NUMINOUS TECHNOLOGIES INC,_tc_wn,"4 S TECHNOLOGIES, LLC",1.0,
X DEVELOPMENT LLC,_tc_wn,A & K Development Co.,1.0,
DATAZEN SOFTWARE,_tc_wn,R SOFTWARE INC.,1.0,
FRONTBRIDGE TECHNOLOGIES,_tc_won,A&A Technologies,1.0,
NEOTONIC SOFTWARE,_tc_wn,R SOFTWARE INC.,1.0,
GRANDCENTRAL COMMUNICATIONS,_tc_wn,"AÃ¢ÂÂT COMMUNICATIONS CO., LTD.",1.0,
PULSE,_tc_wn,"PULSE, LLC",1.0,1
ALPENTAL TECHNOLOGIES,_tc_won,A&A Technologies,1.0,
CALIGARI CORPORATION,_tc_won,1-O-X Corporation,1.0,
RARE,_tc_wn,RARE INC.,1.0,1
TUEO HEALTH,_tc_wn,5 Health Inc.,1.0,
INTERSE CORP,_tc_won,A.L.M.T. CORP.,1.0,
NUMINOUS TECHNOLOGIES,_tc_wn,"4 S TECHNOLOGIES, LLC",1.0,
GRANDCENTRAL COMMUNICATIONS,_tc_won,H&M Communications,1.0,
FRONTBRIDGE TECHNOLOGIES INC,_tc_wn,"4 S TECHNOLOGIES, LLC",1.0,
TIENET SOLUTIONS,_tc_won,H.T. SOLUTIONS S.R.L.,1.0,
VOICESIGNAL TECHNOLOGIES,_tc_wn,"4 S TECHNOLOGIES, LLC",1.0,
TUEO HEALTH,_tc_won,W. Health L.P.,1.0,
ORIONS SYSTEMS,_bfl_wn,"Orion Systems, Inc.",0.987973153591156,
SOFA,_tc_won,G-Sofa Inc.,0.9841252104064232,
GRANDCENTRAL COMMUNICATIONS,_bfl_wn,"Grand Central Communications, Inc.",0.9818181818181819,
URCHIN SOFTWARE CORP,_bfl_won,Urchin Software Corporation,0.9817137122154236,1
UMBRA,_tc_won,"Umbra U.S.A., Inc.",0.9810736997207748,
PEBBLE,_tc_won,Pebble-i Inc.,0.9810736997207748,
PROPEL SOFTWARE CORP,_bfl_won,Propel Software Corporation,0.9789987802505493,1
APIGEE CORP,_bfl_won,Apigee Corporation,0.9786689877510071,1
VIANETA COMMUNICATIONS,_bfl_wn,Vianeta Communication,0.9767441860465115,
TELXON CORP,_bfl_won,TELXON CORPORATION,0.975165605545044,1
DIMENSION X,_tc_won,"DIMENSION, INC.",0.9741365742228415,
FALK ESOLUTIONS,_tc_won,Falk eSolutions GmbH,0.973869716988981,
VEXCEL CORP,_bfl_won,Vexcel Corporation,0.9732499718666077,1
DEVBIZ BUSINESS SOLUTIONS,_tc_won,"E&C Business Solutions, Inc.",0.9722134138897769,
BLINK,_tc_won,BLINK O.G. LTD.,0.9704670894274323,
INTENTIONAL SOFTWARE CORP,_tc_wn,INTENTIONAL SOFTWARE CORPORATION,0.9676527000151325,1
E-STAMP CORP,_bfl_won,E-Stamp Corporation,0.9665607810020447,1
Z-AXIS LTD.,_tc_won,AXIS,0.9634874884917365,
CHYRON CORP,_bfl_won,Chyron Corporation,0.9629398584365845,1
BASIS TECHNOLOGY CORP,_bfl_won,Basis Technology Corporation,0.962609052658081,1
LINKEDIN CORP,_bfl_won,LinkedIn Corporation,0.9619545340538025,1
CTRL-LABS CORP,_bfl_won,CTRL-labs Corporation,0.9616823196411133,1
IMAGINEOPTIX CORP,_bfl_won,IMAGINEOPTIX CORPORATION,0.9608683586120605,1
E8 STORAGE,_tc_wn,E8 STORAGE SYSTEMS LTD.,0.9604086235203261,
EQUITRAC,_tc_won,Equitrac Corporation,0.9597423367213705,1
AZALEOS,_tc_won,Azaleos Corporation,0.9597423367213705,1
JUNGLEE CORP,_tc_wn,Junglee Corporation,0.9597155044560495,1
ASSETMETRIX CORPORATION,_tc_wn,"AssetMetrix, Inc.",0.9597155044560495,1
PROCLARITY CORP,_tc_wn,ProClarity Corporation,0.9597155044560495,1
GEOWORKS INC,_tc_wn,Geoworks Corporation,0.9597155044560495,1
IROBOT,_tc_won,iRobot Corporation,0.9573563128356014,1
TWINE HEALTH,_bfl_won,"TWIN HEALTH, INC.",0.9565217391304348,
VICINITY CORP,_tc_wn,Vicinity Corporation,0.9555059764832085,1
LEEP TECHNOLOGY,_tc_wn,"LEEP, Inc.",0.9539320992282126,
DIALOGIC CORP,_tc_wn,Dialogic Corporation,0.9527381813289153,1
EVI,_tc_won,Evi Corporation,0.9516513208409922,1
CUMULUS DIGITAL LLC,_tc_wn,"CUMULUS DIGITAL SYSTEMS, INC.",0.9509852514292674,
MOBILE TECHNOLOGIES,_bfl_won,Mobileye Technologies Limited,0.95,
NEOTONIC SOFTWARE,_tc_won,"G-Software, Inc.",0.9481579913204111,
DATAZEN SOFTWARE,_tc_won,"G-Software, Inc.",0.9481579913204111,
THINKBOX SOFTWARE,_tc_won,"G-Software, Inc.",0.9481579913204111,
NOVAURIS,_tc_wn,Novauris Technologies Ltd.,0.9477492278119339,
ADALLOM,_tc_wn,"Adallom Technologies, Ltd.",0.9477492278119339,
UNVEIL TECHNOLOGIES,_tc_wn,"UNVEIL, LLC",0.9477492278119339,
ADALLOM INC,_tc_wn,"Adallom Technologies, Ltd.",0.9477492278119339,
LOBE ARTIFICIAL INTELLIGENCE INC,_bfl_won,"NOBLE ARTIFICIAL INTELLIGENCE, INC.",0.9473684210526316,
HALLI LABS,_bfl_won,Hall Labs LLC,0.9473684210526316,
WESTLAND,_tc_won,Westland Corporation,0.9419903224270393,1
VISIO CORPORATION,_bfl_won,Visto Corporation,0.9411764705882352,
PEBBLE,_tc_wn,"PEBBLE TECHNOLOGY, INC.",0.9408090817799516,
LIGHTBOX,_tc_wn,"Lightbox Technologies, Inc.",0.9405083638577605,
ENTROPIC INC,_tc_won,"Entropic Systems, Inc.",0.9403943663782917,
ENTROPIC,_tc_wn,"Entropic Systems, Inc.",0.9384006684366969,
DREAMPARK,_tc_won,DREAMPARK INTERNATIONAL,0.9376534432061338,
AVED ELECTRONICS,_bfl_won,Avex Electronics Inc.,0.9375,
SIRI INC,_tc_won,"Siri Systems, Inc.",0.9374645667503477,
SWING TECHNOLOGIES,_bfl_wn,Pure Swing Technologies LLC,0.9372097253799438,
LATTICE,_tc_wn,"LATTICE TECHNOLOGY CO., LTD.",0.9372013961834756,
CONVERGENCE CORPORATION,_tc_wn,"CONVERGENCE, INC.",0.9366144252644376,1
THE DEALMAP,_tc_wn,Dealmap Inc.,0.9353753298013499,
MIXER,_tc_wn,MIXER TECHNOLOGIES INC.,0.9340193768950712,
C3 TECHNOLOGIES,_bfl_wn,3C Technologies Ltd.,0.9333333333333332,
CONFIRM,_bfl_wn,CONFIRMA INC,0.9333333333333332,
LEEP TECHNOLOGY,_bfl_wn,LEEF TECHNOLOGY LIMITED,0.9333333333333332,
CONFIRM INC,_bfl_won,CONFIRMA INC,0.9333333333333332,
INTERSE CORP,_bfl_wn,INTERSEC,0.9333333333333332,
GENEE,_bfl_wn,Genese,0.9325624704360962,
TALARIA,_tc_wn,The Talaria Company,0.9316967842302013,
MOBILE TELECOMMUNICATIONS TECHNOLOGIES CORP,_bfl_wn,Mobile Telecommunication Technology,0.9315068493150684,
BIBA,_tc_wn,Biba Pty Ltd.,0.9295946266661478,
WING,_tc_wn,WING CORPORATION,0.9286752383593097,1
MOTOROLA MOBILITY HOLDINGS INC,_tc_wn,Motorola Mobility LLC,0.9252717291294335,
JIGSAW,_tc_won,"Jigsaw Technologies, Inc.",0.9249241575198821,
TORO,_tc_wn,THE TORO COMPANY,0.9246696326776199,
CORNERSTONE,_tc_wn,CORNERSTONE TECHNOLOGIES LLC,0.9242544226947432,
RING,_tc_won,T-Ring Corporation,0.9237088749463939,
ADALLOM,_bfl_wn,Adallo LLC,0.923076923076923,
