small_dataset_name,matched_large_dataset_name,final_score
IMDB,"IMDb, Inc.",1.0
TELEBOOK,NO MATCH,0.0
JUNGLEE,NO MATCH,0.0
PLANETALL.COM,"Planetportal.com, Inc.",0.814814814814815
BOOKPAGES,NO MATCH,0.0
LIVEBID,NO MATCH,0.0
EXCHANGE.COM,NO MATCH,0.0
ALEXA.COM,NO MATCH,0.0
ACCEPT.COM,NO MATCH,0.0
CONVERGENCE CORPORATION,Targeted Convergence Corporation,0.8363636363636364
BACK TO BASICS,NO MATCH,0.0
LEEP TECHNOLOGY,LEEF TECHNOLOGY LIMITED,0.9333333333333332
TAVOLO,NO MATCH,0.0
OURHOUSE,NO MATCH,0.0
CDNOW,NO MATCH,0.0
A9,NO MATCH,0.0
GAMERDEAL.TV,NO MATCH,0.0
JOYO.COM,NO MATCH,0.0
BOOKSURGE,"Boisurge, Inc.",0.8235294117647058
MOBIPOCKET.COM,NO MATCH,0.0
CREATESPACE,NO MATCH,0.0
SHOPBOP,NO MATCH,0.0
TEXTPAYME,NO MATCH,0.0
DPREVIEW,NO MATCH,0.0
BRILLIANCE AUDIO,"Brilliance Audio, Inc.",1.0
WITHOUT A BOX,"Without A. Box, Inc.",1.0
AUDIBLE,"Audible, Inc.",1.0
SCREENSELECT,NO MATCH,0.0
BRAFILM,NO MATCH,0.0
SCREENCLICK,NO MATCH,0.0
VIDEO ISLAND,NO MATCH,0.0
LOVEFILM,NO MATCH,0.0
FABRIC.COM,NO MATCH,0.0
BOX OFFICE MOJO,NO MATCH,0.0
JUSTBOOKS,NO MATCH,0.0
BOOKFINDER.COM,NO MATCH,0.0
FILLZ,NO MATCH,0.0
CHRISLANDS,NO MATCH,0.0
ABEBOOKS,AbeBooks Inc.,1.0
SHELFARI,NO MATCH,0.0
REFLEXIVE ENTERTAINMENT,NO MATCH,0.0
IBERLIBRO,NO MATCH,0.0
LEXCYCLE,"Lexcycle, Inc.",1.0
STANZA,NO MATCH,0.0
SNAPTELL,NO MATCH,0.0
ZAPPOS,NO MATCH,0.0
TOUCHCO,NO MATCH,0.0
QUORUS,QUORTUS LIMITED,0.923076923076923
WOOT,NO MATCH,0.0
SONGZA,NO MATCH,0.0
AMIE STREET,NO MATCH,0.0
BUYVIP,NO MATCH,0.0
QUIDSI,"Quidsi, Inc.",1.0
METAWATCH,NO MATCH,0.0
THE BOOK DEPOSITORY,NO MATCH,0.0
PUSHBUTTON,NO MATCH,0.0
YAP,NO MATCH,0.0
TEACHSTREET,NO MATCH,0.0
KIVA SYSTEMS,"Kiva Systems, Inc.",1.0
AVALON BOOKS,NO MATCH,0.0
UPNEXT,NO MATCH,0.0
APPARIO RETAIL,NO MATCH,0.0
IVONA TEXT-TO-SPEECH,NO MATCH,0.0
DISCOVEREADS,DiscoverReady LLC,0.88
GOODREADS,NO MATCH,0.0
EVI,Evis LLC,0.8571428571428572
SCREENTECH,NO MATCH,0.0
LIQUAVISTA,Liquavista B.V.,0.8695652173913043
TENMARKS EDUCATION,NO MATCH,0.0
DOUBLE HELIX GAMES,NO MATCH,0.0
COMIXOLOGY,NO MATCH,0.0
TWITCH,Twitch LLC,1.0
ROOFTOP MEDIA,NO MATCH,0.0
GOODGAME,NO MATCH,0.0
ANNAPURNA LABS,Annapurna Labs Ltd.,1.0
2LEMETRY,NO MATCH,0.0
AMIATO,"Amiato, Inc.",1.0
