small_dataset_name,matched_large_dataset_name,similarity_score
IMDB,"IMDb, Inc.",1.0
TELEBOOK,!Bujubojb!Me,0.0
JUNGLEE,Junglee Corporation,0.9597155044560495
PLANETALL.COM,!Bujubojb!Me,0.0
BOOKPAGES,!Bujubojb!Me,0.0
LIVEBID,!Bujubojb!Me,0.0
EXCHANGE.COM,!Bujubojb!Me,0.0
ALEXA.COM,!Bujubojb!Me,0.0
ACCEPT.COM,!Bujubojb!Me,0.0
CONVERGENCE CORPORATION,"CONVERGENCE, INC.",0.9366144252644376
BACK TO BASICS,"Back to Basics Products, LLC",0.9635828917935173
LEEP TECHNOLOGY,"LEEP, Inc.",0.9539320992282126
TAVOLO,!Bujubojb!Me,0.0
OURHOUSE,!Bujubojb!Me,0.0
CDNOW,!Bujubojb!Me,0.0
A9,!Bujubojb!Me,0.0
GAMERDEAL.TV,!Bujubojb!Me,0.0
JOYO.COM,!Bujubojb!Me,0.0
BOOKSURGE,!Bujubojb!Me,0.0
MOBIPOCKET.COM,!Bujubojb!Me,0.0
CREATESPACE,!Bujubojb!Me,0.0
SHOPBOP,!Bujubojb!Me,0.0
TEXTPAYME,!Bujubojb!Me,0.0
DPREVIEW,!Bujubojb!Me,0.0
BRILLIANCE AUDIO,"Brilliance Audio, Inc.",1.0000000000000002
WITHOUT A BOX,"Without A. Box, Inc.",1.0
AUDIBLE,"Audible, Inc.",1.0
SCREENSELECT,!Bujubojb!Me,0.0
BRAFILM,!Bujubojb!Me,0.0
SCREENCLICK,!Bujubojb!Me,0.0
VIDEO ISLAND,ISLAND TECHNOLOGY INC.,0.662617073313948
LOVEFILM,!Bujubojb!Me,0.0
FABRIC.COM,!Bujubojb!Me,0.0
BOX OFFICE MOJO,"MOJO LABS, INC.",0.6429672594907864
JUSTBOOKS,!Bujubojb!Me,0.0
BOOKFINDER.COM,!Bujubojb!Me,0.0
FILLZ,!Bujubojb!Me,0.0
CHRISLANDS,!Bujubojb!Me,0.0
ABEBOOKS,AbeBooks Inc.,1.0
SHELFARI,!Bujubojb!Me,0.0
REFLEXIVE ENTERTAINMENT,Reflexive Ltd.,0.8499509627343442
IBERLIBRO,!Bujubojb!Me,0.0
LEXCYCLE,"Lexcycle, Inc.",1.0
STANZA,!Bujubojb!Me,0.0
SNAPTELL,!Bujubojb!Me,0.0
ZAPPOS,Zappos IP LLC,0.8963209294105816
TOUCHCO,!Bujubojb!Me,0.0
QUORUS,!Bujubojb!Me,0.0
WOOT,!Bujubojb!Me,0.0
SONGZA,!Bujubojb!Me,0.0
AMIE STREET,Amie Design Limited,0.7438646858415873
