small_dataset_name,matched_large_dataset_name,similarity_score
IMDB,"IMDb, Inc.",0.9848033107106109
TELEBOOK,!Bujubojb!Me,0.0
JUNGLEE,Junglee Corporation,0.9597423367213705
PLANETALL.COM,V.Com S.A.,1.0
BOOKPAGES,!Bujubojb!Me,0.0
LIVEBID,!Bujubojb!Me,0.0
EXCHANGE.COM,Exchange Holdings Inc.,0.6493079423611375
ALEXA.COM,"Alexa Medical, LLC",0.7831975747669078
ACCEPT.COM,V.Com S.A.,1.0
CONVERGENCE CORPORATION,"CONVERGENCE, INC.",0.9146696669571394
BACK TO BASICS,"Back to Basics Products, LLC",0.9487615401308063
LEEP TECHNOLOGY,"LEEP, Inc.",0.9403963751435485
TAVOLO,!Bujubojb!Me,0.0
OURHOUSE,!Bujubojb!Me,0.0
CDNOW,!Bujubojb!Me,0.0
A9,"A9.com, Inc.",0.8659773842672877
GAMERDEAL.TV,Smart TV LLC,0.7549246617959792
JOYO.COM,JOYO TECHNOLOGY PTE. LTD.,0.7174695242445737
BOOKSURGE,!Bujubojb!Me,0.0
MOBIPOCKET.COM,V.Com S.A.,1.0
CREATESPACE,!Bujubojb!Me,0.0
SHOPBOP,!Bujubojb!Me,0.0
TEXTPAYME,!Bujubojb!Me,0.0
DPREVIEW,!Bujubojb!Me,0.0
BRILLIANCE AUDIO,"Brilliance Audio, Inc.",0.9870786868447688
WITHOUT A BOX,"Without A. Box, Inc.",0.9884690381230603
AUDIBLE,"Audible, Inc.",0.9822941015967808
SCREENSELECT,!Bujubojb!Me,0.0
BRAFILM,!Bujubojb!Me,0.0
SCREENCLICK,!Bujubojb!Me,0.0
VIDEO ISLAND,U.S. Video,0.6822695790674923
LOVEFILM,!Bujubojb!Me,0.0
FABRIC.COM,"R & T Fabric, LLC",0.7761864691186652
BOX OFFICE MOJO,"MOJO LABS, INC.",0.6370663239491305
JUSTBOOKS,!Bujubojb!Me,0.0
BOOKFINDER.COM,V.Com S.A.,1.0
FILLZ,!Bujubojb!Me,0.0
CHRISLANDS,!Bujubojb!Me,0.0
ABEBOOKS,AbeBooks Inc.,0.9856881334292484
SHELFARI,!Bujubojb!Me,0.0
REFLEXIVE ENTERTAINMENT,Reflexive Ltd.,0.8315952885597184
IBERLIBRO,!Bujubojb!Me,0.0
LEXCYCLE,"Lexcycle, Inc.",0.9856881334292484
STANZA,!Bujubojb!Me,0.0
SNAPTELL,!Bujubojb!Me,0.0
ZAPPOS,Zappos IP LLC,0.8761912156785364
TOUCHCO,!Bujubojb!Me,0.0
QUORUS,!Bujubojb!Me,0.0
WOOT,!Bujubojb!Me,0.0
SONGZA,!Bujubojb!Me,0.0
AMIE STREET,Amie Design Limited,0.7202462084553132
BUYVIP,!Bujubojb!Me,0.0
QUIDSI,"Quidsi, Inc.",0.9856881334292484
METAWATCH,!Bujubojb!Me,0.0
THE BOOK DEPOSITORY,THE CANADIAN DEPOSITORY FOR SECURITIES LIMITED,0.5293317127514849
PUSHBUTTON,!Bujubojb!Me,0.0
YAP,SNC YAP,0.7947373809048119
TEACHSTREET,!Bujubojb!Me,0.0
KIVA SYSTEMS,"Kiva Systems, Inc.",0.9859191385992706
AVALON BOOKS,"L.J. Avalon, L.L.C.",0.6877417244617114
UPNEXT,!Bujubojb!Me,0.0
APPARIO RETAIL,Appario Global Solutions (AGS) AG,0.5382316291306706
IVONA TEXT-TO-SPEECH,IVONA Software Sp. z.o.o.,0.4773681658532026
DISCOVEREADS,!Bujubojb!Me,0.0
GOODREADS,!Bujubojb!Me,0.0
EVI,Evi Corporation,0.9516513208409922
SCREENTECH,!Bujubojb!Me,0.0
LIQUAVISTA,Liquavista B.V.,1.0
TENMARKS EDUCATION,"Education Advanced, Inc.",0.7782742512338553
DOUBLE HELIX GAMES,Double Helix Enterprises,0.782315983495275
COMIXOLOGY,!Bujubojb!Me,0.0
TWITCH,Twitch LLC,0.9668682431307567
ROOFTOP MEDIA,Rooftop Systems Inc.,0.7977049683889532
GOODGAME,!Bujubojb!Me,0.0
ANNAPURNA LABS,Annapurna Labs Ltd.,0.9819290657629822
2LEMETRY,!Bujubojb!Me,0.0
AMIATO,"Amiato, Inc.",0.9856881334292484
SHOEFITR,"Shoefitr, Inc.",0.9856881334292484
CLUSTERK,!Bujubojb!Me,0.0
APPTHWACK,!Bujubojb!Me,0.0
AWS ELEMENTAL,"AWS Industries, L.L.C.",0.6850938215644304
SAFABA TRANSLATION SOLUTIONS,"TRANSLATION  TECHNOLOGIES, INC.",0.8271162625402847
ORBEUS,"Orbeus, Inc.",0.9856881334292484
PARTPIC,!Bujubojb!Me,0.0
NICE,NICE S.p.A.,1.0
EMVANTAGE PAYMENTS,E-Payments,1.0
CLOUD9 IDE,"Cloud9 Technologies, LLC",0.7059782113227417
MMO-CHAMPION,Champion Technologies Ltd.,0.8773095909328019
CURSE,!Bujubojb!Me,0.0
ANGEL.AI,"I-ANGEL CO., LTD.",0.7105768519147029
BIBA,Biba Pty Ltd.,0.9111183911355492
HARVEST.AI,"E.T. Harvest Co., Ltd.",0.7100276912811401
THINKBOX SOFTWARE,"G-Software, Inc.",0.9481579913204111
DO,"E-Z-Do, Inc.",0.9669076923113498
SUKAR,!Bujubojb!Me,0.0
SOUQ,!Bujubojb!Me,0.0
WFM SELECT FISH,Select Technology Corporation,0.6122445346567376
WILD OATS MARKETPLACE,"American Oats, Inc.",0.5343114507642217
WHOLE FOODS MARKET,"Market, U.S.A.",0.5649023953366898
GAMESPARKS,!Bujubojb!Me,0.0
GRAPHIQ,!Bujubojb!Me,0.0
CLIPMINE,"ClipMine, Inc.",0.9856881334292484
WING,WING CORPORATION,0.9276709360168098
BODY LABS,"X-BODY, INC.",0.7695643737786603
IMMEDIA,"Immedia Semiconductor, Inc.",0.8695983921889124
BLINK,BLINK O.G. LTD.,0.9704670894274323
SQRRL,"Sqrrl Data, Inc.",0.8704827877801702
THE ALEXA ACCELERATOR,"Alexa Medical, LLC",0.6531222453108282
MR. BEAMS,Beams Holdings Limited,0.6796289272857295
RING,T-Ring Corporation,0.9237088749463939
PILLPACK,!Bujubojb!Me,0.0
TAPZO.,!Bujubojb!Me,0.0
REVLO,!Bujubojb!Me,0.0
CLOUDENDURE,CloudEndure Ltd.,0.9784038433045896
TSO LOGIC,TSO Logic Inc.,0.9887054638255505
DISPATCH,"National Dispatch Center, Inc.",0.7873141219295402
THINGTON,!Bujubojb!Me,0.0
EERO,eero Inc.,0.9856881334292484
CANVAS TECHNOLOGY,"Canvas Technology, Inc.",0.9798808710641285
BEBO,"Bebo, Inc.",0.9835677506048506
E8 STORAGE,E8 STORAGE SYSTEMS LTD.,0.9466525345945078
IGDB.COM,V.Com S.A.,1.0
INLT,!Bujubojb!Me,0.0
HEALTH NAVIGATOR,"Navigator Technology, Inc.",0.838137434975585
"TEAMSQL, INC.","A & V, Inc.",1.0
CLIMATE PLEDGE FUND,CLIMATE LLC,0.5035135990546702
ZOOX,"Zoox, Inc.",0.9856881334292484
WONDERY,!Bujubojb!Me,0.0
UMBRA,"Umbra U.S.A., Inc.",0.9810736997207748
DB BEST TECHNOLOGIES,S+DB B.V.,0.7128101827325478
SELZ,!Bujubojb!Me,0.0
PERPULE,!Bujubojb!Me,0.0
EPIX,"Epix, Inc.",0.9822941015967808
EVOLUTION MEDIA,M.M. Evolution S.r.l.,0.7988214160250019
MGM STUDIOS,"MGM PRODUCTS, INC.",0.6897192280277783
ART19,"ART19, Inc.",0.9856881334292484
NET POWER & LIGHT,"NET POWER AND LIGHT, INC.",0.9225206151250317
WICKR,WICKR INC.,0.9856881334292484
PRIONE,!Bujubojb!Me,0.0
PARCELBRIGHT,!Bujubojb!Me,0.0
VEEQO,!Bujubojb!Me,0.0
STRIO.AI,"7.ai, Inc.",0.9617691365701502
GLOWROAD,!Bujubojb!Me,0.0
NETWORK INNOVATIONS,GLOBAL INNOVATIONS NETWORK LLC,0.7976906622890708
ORION NETWORK SYSTEMS,"Orion Systems, Inc.",0.8079897844424155
STYLEWARE,!Bujubojb!Me,0.0
NASHOBA SYSTEMS,A.C.C. Systems,1.0
CORAL SOFTWARE,Coral S.p.A.,0.8433453957285659
NEXT,H-NEXT GMBH,0.9120629780428117
POWER COMPUTING,D & B Computing,0.8161590377521459
FILEMAKER,!Bujubojb!Me,0.0
XEMPLAR EDUCATION,"Education Advanced, Inc.",0.7782742512338553
RAYCER GRAPHICS,"Raycer, Incorporated",0.7659483724049903
NETSELECTOR,"NetSelector, Inc.",0.9856881334292484
POWERSCHOOL,!Bujubojb!Me,0.0
BLUE FISH LABS,"Ningbo Blue Fish Home Technology Co., Ltd.",0.6327452013457373
SPRUCE TECHNOLOGIES,"Spruce Environmental Technologies, Inc.",0.8613303592805096
NOTHING REAL,Nothing Technology Limited,0.7454534843418218
ZAYANTE,Zayante,1.0
PROPEL SOFTWARE,Propel Software Corporation,0.9610236921722455
PRISMO GRAPHICS,Prismo Limited,0.7895882734687381
EMAGIC,!Bujubojb!Me,0.0
FINGERWORKS,"Fingerworks, Inc.",0.9856881334292484
SCHEMASOFT,!Bujubojb!Me,0.0
BRAEBURN CAPITAL,Braeburn Systems LLC,0.7774706004507959
SILICON COLOR,F.S.K.COLOR,0.7249709598737031
PROXIMITY,"Proximity Controls, Inc.",0.8355389151932002
PA SEMI,"P.A. Semi, Inc.",0.682490624016036
PLACEBASE,!Bujubojb!Me,0.0
LALA,Grupo Industrial Lala. S.A. de C.V.,0.7163838347011572
RARELIGHT,!Bujubojb!Me,0.0
QUATTRO WIRELESS,I.QUATTRO S.R.L.,0.8588941256941475
INTRINSITY,"INTRINSITY, INC.",0.9856881334292484
SIRI,"Siri Systems, Inc.",0.9212187590340157
POLY9,!Bujubojb!Me,0.0
IMSENSE,!Bujubojb!Me,0.0
POLAR ROSE,"POLAR & CO., INC.",0.67416303152745
C3 TECHNOLOGIES,C3 Corporation,0.879153865722141
ANOBIT TECHNOLOGIES,Anobit Technologies Ltd.,0.9805355704199199
CHOMP,"Chomp, Inc.",0.9856881334292484
REDMATICA,!Bujubojb!Me,0.0
MOG,"Mog, Inc.",0.9856881334292484
EZVALIDATION,!Bujubojb!Me,0.0
ATRUA TECHNOLOGIES,Atrua Technologies,1.0000000000000002
UPEK,"Upek, Inc.",0.9856881334292484
AUTHENTEC,!Bujubojb!Me,0.0
PARTICLE,"PARTICLE CO., LTD.",0.9254728694016876
COLOR LABS INC.,"Color Labs, Inc.",1.0
WIFISLAM,!Bujubojb!Me,0.0
CATCH.COM,"Catch, Inc.",0.8073300036103457
